ds,yhat,yhat_lower,yhat_upper
2012-06-09,134.34477778353227,-230.28042723178908,574.1513121880683
2012-06-10,133.63843597810768,-286.04088010015903,531.4484371992417
2012-06-11,211.6244704973889,-173.98762967611145,596.2656462362625
2012-06-12,288.90156189421253,-132.79103422680637,675.4388683789078
2012-06-13,119.90079404142786,-283.2228679515422,497.1499545117019
2012-06-14,123.47158084896782,-257.2617818404196,505.78486559596666
2012-06-15,130.1065392243134,-265.90179216816847,512.0169345311439
2012-06-16,129.40033042169932,-252.19528266712845,528.9920740956164
2012-06-17,128.6939886166534,-269.17970568616477,533.1804662947098
2012-06-18,206.6800231357721,-156.34448698007378,583.8973313183851
2012-06-19,283.95711453284497,-131.30496810686793,670.20031189549
2012-06-20,114.95634667998957,-282.1030898601499,499.10285694852905
2012-06-21,118.52713348757267,-286.9551039896898,505.65685433815923
2012-06-22,125.16209186303614,-256.71263488626425,510.21277643867126
2012-06-23,124.4558830604839,-246.28856069784294,507.3632758404073
2012-06-24,123.74954125540512,-267.08881474489027,510.64299554358445
2012-06-25,201.7355757744845,-181.54951802607056,604.9055366971072
2012-06-26,279.0126671715364,-111.56336533178053,692.8101803268083
2012-06-27,110.01189931882853,-292.5231900914294,501.66136731144724
2012-06-28,113.58268612623158,-290.88126067559546,514.3211683825393
2012-06-29,120.21764450175884,-297.1110151540799,521.4793075966255
2012-06-30,119.51143569906726,-304.38666047565613,509.4073289902613
2012-07-01,118.80509389396455,-304.43372586764553,522.3223886792558
2012-07-02,196.791128413116,-219.07356866273156,595.9779431844804
2012-07-03,274.0682198101689,-102.28666161759946,666.3060292748788
2012-07-04,105.0674519573902,-262.5610883341991,500.6415273633698
2012-07-05,108.63823876473079,-288.0632693812648,480.68676624287053
2012-07-06,115.27319714048161,-262.687798932893,521.3061015045993
2012-07-07,114.56698833794584,-280.54203003385174,531.632413065471
2012-07-08,113.86064653278567,-296.8529587569341,503.87993127594973
2012-07-09,191.8466810516831,-221.23468086538622,563.916872077271
2012-07-10,269.1237724488013,-127.73784167556624,647.4938239669982
2012-07-11,100.12300459597193,-290.5973693525067,523.6407274754198
2012-07-12,103.69379140344127,-347.0569871736435,487.37072269611855
2012-07-13,110.32874977897715,-286.7748191146308,535.5951344793334
2012-07-14,109.62254097652927,-273.41715748475406,504.32135845651214
2012-07-15,108.91619917134504,-300.05909470542366,520.671536887707
2012-07-16,186.9022336905407,-207.0843683642196,595.4373955067462
2012-07-17,264.17932508743377,-165.89387777818482,656.0670205252558
2012-07-18,95.17855723477085,-280.57105677724854,479.9485498639662
2012-07-19,98.74934404210018,-318.54069379117226,472.0621877406805
2012-07-20,105.38430241787017,-298.4752862654971,483.3549728089734
2012-07-21,104.67809361511256,-305.70355741367007,499.7409331479786
2012-07-22,103.97175181016618,-254.49468274604018,503.1652316479363
2012-07-23,181.95778632917228,-218.50085083884937,599.4808199303314
2012-07-24,259.23487772612526,-130.36704612533507,658.7723194146218
2012-07-25,90.2341098733526,-294.5509285149141,476.9733279961043
2012-07-26,93.8048966808647,-304.73225253124986,513.7084503145351
2012-07-27,100.43985505642259,-283.2978110946703,498.5533980020864
2012-07-28,99.73364625369595,-328.27719668154924,478.96051943896515
2012-07-29,99.02730444860268,-296.5868873091288,494.8652985555073
2012-07-30,177.01333896788458,-228.3077076789358,576.8117225893659
2012-07-31,254.29043036482722,-128.87336953305973,643.5531066925065
2012-08-01,85.28966251219158,-293.65368065928317,473.28630384206116
2012-08-02,88.86044931941794,-274.673452660795,466.5628581273559
2012-08-03,95.49540769491816,-301.50508430335873,479.07825876580205
2012-08-04,94.78919889257456,-326.32015819704634,488.6511680635425
2012-08-05,94.08285708735438,-297.6110609499521,477.09448177286066
2012-08-06,172.06889160674226,-205.06687248978955,560.0238174876165
2012-08-07,249.34598300339007,-154.28587458286881,657.1366857988876
2012-08-08,80.34521515101055,-315.5431420208706,468.6747162731515
2012-08-09,83.9160019581284,-324.6288375487288,471.4382582253848
2012-08-10,90.55096033364089,-288.22579238104476,488.45955026634863
2012-08-11,89.84475153095667,-295.47389050608723,488.6674159249711
2012-08-12,89.13840972610615,-304.4286574559082,500.2240227983015
2012-08-13,167.1244442453093,-255.613176374587,561.0425371047006
2012-08-14,244.40153564208165,-157.54940325705104,620.5499547728474
2012-08-15,75.40076778957223,-323.50127323848403,471.97579703412623
2012-08-16,78.97155459678731,-304.6222127022267,486.6581270824267
2012-08-17,85.60651297219329,-321.2577875022819,468.6256554458271
2012-08-18,84.9003041698353,-326.4368780793435,501.0896635003479
2012-08-19,84.19396236473494,-296.11018869212364,485.8373336266381
2012-08-20,162.17999688394087,-228.36273217669628,585.1072484591523
2012-08-21,239.45708828071403,-164.5367494945568,645.0999889323773
2012-08-22,70.45632042815399,-322.05167789994005,447.5601935068835
2012-08-23,74.02710723544621,-317.0853773193536,456.74172228259874
2012-08-24,80.66206561108635,-311.53612237411517,500.060376107915
2012-08-25,79.95585680831141,-311.60742460361797,499.7806271312939
2012-08-26,79.24951500329433,-317.5805722233898,477.5856946261717
2012-08-27,157.23554952265317,-230.21635481344825,530.9276844382448
2012-08-28,234.51264091927698,-152.53373617851537,630.5331762870525
2012-08-29,65.51187306671565,-303.9382300899901,430.9712858304307
2012-08-30,69.08265987405105,-332.53847309579066,454.50278134623954
2012-08-31,75.71761824958193,-307.79222236220835,472.94698762167525
2012-09-01,75.01140944709601,-340.7379995032345,441.5273598761011
2012-09-02,74.30506764204608,-315.3035889456091,491.1585702810021
2012-09-03,152.29110216136547,-246.14498361783703,576.5303554777914
2012-09-04,229.56819355830572,-153.59000305964406,608.8652385299748
2012-09-05,60.5674257055546,-325.0604000666441,442.9059402716809
2012-09-06,64.13821251281556,-348.0495652089977,453.67718088391683
2012-09-07,70.7731708883046,-334.9702548852502,474.98396082507674
2012-09-08,70.06696208588068,-319.67211210253333,464.3660322047961
2012-09-09,69.3606202806055,-343.43027900625054,460.86767451878717
2012-09-10,147.34665479985182,-245.5025724463041,549.2534740890173
2012-09-11,224.62374619715925,-192.8660584334999,586.8143890213346
2012-09-12,55.62297834362184,-325.85684241227057,419.7157515558275
2012-09-13,59.19376515019479,-338.53788481080534,484.7178528066484
2012-09-14,65.82872352490566,-311.22044799821697,476.42902526528934
2012-09-15,65.12251472150672,-325.7551510800456,454.6316854608295
2012-09-16,64.41617291579138,-371.8730317456619,452.2864699706892
2012-09-17,142.40220743428898,-259.5994634077087,525.6642184619142
2012-09-18,219.67929883029538,-164.92704261951025,597.2440100352411
2012-09-19,50.6785309761934,-365.68563755958206,406.1473794342889
2012-09-20,54.24931778208057,-357.62253974894224,437.8117670913791
2012-09-21,60.88427615562543,-352.86500901665863,487.1675070907536
2012-09-22,60.178067351277775,-323.55948818833116,439.61479168723605
2012-09-23,59.4717255442697,-350.17146320005236,477.5419253016737
2012-09-24,137.45776006185284,-259.40447235857215,526.242532384124
2012-09-25,214.734851456653,-180.13686231699944,619.5567747563585
2012-09-26,45.73408360164564,-326.94247325338335,434.39531722148433
2012-09-27,49.30487040597268,-354.5669919331877,442.833615991846
2012-09-28,55.93982877869942,-304.08498101606756,466.8675548387543
